city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2274895,Monrovia,LR,6.3,-10.8,01/25/20,            77,100,20,4.56
3648559,Barcelona,VE,10.13,-64.7,01/25/20,            71.15,94,100,3.87
3590069,San Jose,GT,16.98,-89.9,01/25/20,            70.54,93,74,4.07
1496073,Orlik,RU,52.52,99.83,01/25/20,            4.14,62,100,1.95
3372472,Vila Franca do Campo,PT,37.72,-25.43,01/25/20,            57.2,87,40,4.7
2444219,Goure,NE,13.98,10.27,01/25/20,            66,16,0,11.99
510911,Pervomayskiy,RU,53.25,40.29,01/25/20,            27.14,83,17,15.75
371745,Kutum,SD,14.2,24.67,01/25/20,            42.64,35,0,5.66
2027044,Batagay,RU,67.63,134.63,01/25/20,            -42.81,94,1,2.28
2510573,Teguise,ES,29.06,-13.56,01/25/20,            60.8,72,20,4.7
2036734,Huangnihe,CN,43.56,128.02,01/25/20,            4.6,76,0,2.64
3598787,Champerico,GT,14.3,-91.92,01/25/20,            77,94,75,4.7
610298,Beyneu,KZ,45.32,55.2,01/25/20,            35.26,76,100,20.29
551439,Kazanskaya,RU,45.41,40.44,01/25/20,            41,74,91,24.4
1817968,Anshun,CN,26.25,105.93,01/25/20,            29.1,94,21,3.42
1735227,Kuantan,MY,3.81,103.33,01/25/20,            73.26,94,20,7.2
1853174,Sakaiminato,JP,35.55,133.23,01/25/20,            42.8,81,75,2.24
2362323,Bogande,BF,12.97,-0.14,01/25/20,            70.29,9,38,8.93
1106677,Bambous Virieux,MU,-20.34,57.76,01/25/20,            75.69,78,40,12.75
236524,Rafai,CF,4.95,23.92,01/25/20,            68.76,27,30,5.1
3125287,Cervo,ES,43.67,-7.41,01/25/20,            39.45,1,5,4.23
1267390,Kavaratti,IN,10.57,72.64,01/25/20,            80.8,67,88,3
3671337,Puerto Rondon,CO,6.28,-71.1,01/25/20,            81.9,48,33,5.23
2109701,Auki,SB,-8.77,160.7,01/25/20,            83.44,75,2,4.61
3909011,San Rafael,BO,-12.93,-64.87,01/25/20,            78.69,88,93,2.75
1337619,Ugoofaaru,MV,5.67,73,01/25/20,            82.22,68,100,6.58
6141439,Sault Ste. Marie,CA,46.52,-84.33,01/25/20,            34.39,100,90,5.82
113659,Tabas,IR,33.6,56.92,01/25/20,            37.4,57,0,2.24
5183234,Carlisle,US,40.2,-77.19,01/25/20,            39.31,75,1,3.36
2537881,Safi,MA,32.3,-9.24,01/25/20,            51.12,89,73,3.74
5972291,Havre-Saint-Pierre,CA,50.23,-63.6,01/25/20,            10.4,92,90,6.53
3385980,Tucuma,BR,-0.18,-50.05,01/25/20,            78.62,90,72,8.19
5768244,Rapid Valley,US,44.06,-103.15,01/25/20,            38.68,51,20,10.29
3693584,Pimentel,PE,-6.84,-79.93,01/25/20,            66.2,29,50,17.22
3571592,Rock Sound,BS,24.9,-76.2,01/25/20,            73.11,66,16,4.79
2126785,Belaya Gora,RU,68.53,146.42,01/25/20,            -28.03,96,100,3.58
3420768,Qasigiannguit,GL,68.82,-51.19,01/25/20,            8.6,46,96,14.99
2122605,Okhotsk,RU,59.38,143.3,01/25/20,            -19.48,71,71,14.83
3115739,Naron,ES,43.52,-8.15,01/25/20,            41.29,100,20,6.93
2640351,Peterhead,GB,57.51,-1.8,01/25/20,            41.86,81,75,8.05
553929,Kaltasy,RU,55.97,54.8,01/25/20,            15.89,98,94,4.18
784222,Vranjska Banja,RS,42.55,21.99,01/25/20,            37,85,57,1.32
1222396,Kuah,MY,6.33,99.84,01/25/20,            76.33,83,20,5.82
3459869,Joacaba,BR,-27.18,-51.5,01/25/20,            62.42,78,1,2.35
1337618,Manadhoo,MV,5.77,73.38,01/25/20,            82.22,72,100,7.56
1715335,Davila,PH,18.47,120.58,01/25/20,            75.2,100,75,2.24
55671,Kismayo,SO,-0.36,42.55,01/25/20,            80.1,89,98,12.71
1283679,Banepa,NP,27.63,85.52,01/25/20,            42.8,100,75,2.24
3351663,Benguela,AO,-12.58,13.41,01/25/20,            77.65,76,100,3.02
380348,Abu Zabad,SD,12.35,29.25,01/25/20,            56.32,19,0,15.57
3459094,Laguna,BR,-28.48,-48.78,01/25/20,            64.42,92,34,1.7
2399001,Mayumba,GA,-3.43,10.66,01/25/20,            83.28,79,96,7.16
7647007,Bariloche,AR,-41.15,-71.31,01/25/20,            66.2,52,75,25.28
2447513,Arlit,NE,18.74,7.39,01/25/20,            66.99,10,16,8.59
2377450,Nouakchott,MR,18.09,-15.98,01/25/20,            77,44,87,11.41
2037252,Genhe,CN,50.78,121.52,01/25/20,            -14.62,98,28,3.51
3522788,Nautla,MX,20.22,-96.78,01/25/20,            68.58,92,85,1.05
6111862,Port Hardy,CA,50.7,-127.42,01/25/20,            48.2,81,75,16.11
4032420,Neiafu,TO,-18.65,-173.98,01/25/20,            82.4,78,20,5.82
370481,Merowe,SD,18.48,31.82,01/25/20,            52.92,30,0,11.77
5720495,Coos Bay,US,43.37,-124.22,01/25/20,            53.83,100,90,6.93
3446971,Tanhacu,BR,-14.02,-41.25,01/25/20,            71.46,94,100,1.95
3527113,Hidalgotitlan,MX,17.78,-94.63,01/25/20,            77,78,5,6.02
2210554,Sirte,LY,31.21,16.59,01/25/20,            58.8,34,99,12.57
1633070,Palembang,ID,-2.92,104.75,01/25/20,            75.2,94,75,5.82
3388456,Sao Jose da Coroa Grande,BR,-8.9,-35.15,01/25/20,            81.91,85,74,17.96
2027296,Aykhal,RU,66,111.5,01/25/20,            -27.4,67,100,6.71
58933,Garoowe,SO,8.41,48.48,01/25/20,            73.18,76,74,10.98
215771,Isiro,CD,2.77,27.62,01/25/20,            65.79,43,35,2.44
2457161,Gao,ML,16.64,1.64,01/25/20,            71.96,9,54,10.76
523662,Nadvoitsy,RU,63.87,34.32,01/25/20,            5.58,95,74,5.28
4944903,Nantucket,US,41.28,-70.1,01/25/20,            45.66,93,90,21.92
1619650,Ban Dung,TH,17.7,103.26,01/25/20,            66.2,93,77,8.03
3671387,Puerto Narino,CO,-3.77,-70.38,01/25/20,            82.4,94,40,2.21
1276328,Bhadrachalam,IN,17.67,80.88,01/25/20,            64.94,92,57,2.59
3652100,Salinas,EC,-2.22,-80.97,01/25/20,            78.8,78,75,4.7
2206894,Hokitika,NZ,-42.72,170.97,01/25/20,            66.54,84,55,3.33
1519691,Sarkand,KZ,45.41,79.92,01/25/20,            30.38,98,100,2.26
3521972,Panaba,MX,21.28,-88.27,01/25/20,            71.53,79,3,10.13
3837675,San Francisco,AR,-31.43,-62.08,01/25/20,            83.26,59,0,1.72
805775,Borisovka,RU,50.62,35.99,01/25/20,            33.8,86,75,15.66
2610343,Vestmanna,FO,62.16,-7.17,01/25/20,            44.6,93,100,10.29
